Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Afghanistan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3),10655,Afghanistan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,43937623,45957000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,89894623
"Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - ASIA-PACIFIC, GRULAC, CENTRAL AND EASTERN EUROPE REGIONS",10639,Afghanistan,Biodiversity,Enabling Activity,United Nations Environment Programme,1424500,1050890,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2475390
Minamata initial assessment and national action plan for the artisanal and small-scale gold mining sector in Afghanistan,10631,Afghanistan,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,700000,30000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,730000
Community-based Climate-responsive Livelihoods and Forestry (CCLF),10312,Afghanistan,Climate Change,Full-size Project,United Nations Development Programme,8982420,16000000,Project Approved,2024,Least Developed Countries Fund,No,No,GEF - 7,24982420
Combating land degradation and biodiversity loss by promoting sustainable rangeland management and biodiversity conservation in Afghanistan,10169,Afghanistan,"Biodiversity, Land Degradation",Full-size Project,Food and Agriculture Organization,5906850,30000000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,35906850
Umbrella Programme for Preparation of National Communications (NCs) and Biennial Update Reports (BURs) to the UN Framework Convention on Climate Change (UNFCCC),10167,Afghanistan,Climate Change,Enabling Activity,United Nations Environment Programme,10110480,1000000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,11110480
"Strengthening capacity in the agriculture, land-use and other sectors for monitoring and reporting on Afghanistan’s mitigation and adaptation targets",10155,Afghanistan,Climate Change,Medium-size Project,Food and Agriculture Organization,1350000,1500000,Project Approved,2020,GEF Trust Fund,No,Yes,GEF - 7,2850000
Investing in energy efficiency to strengthen the cold value chain of small and medium enterprises,10143,Afghanistan,Climate Change,Medium-size Project,United Nations Industrial Development Organization,1321141,9711000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,11032141
"GEF SGP Sixth Operational Phase- Strategic Implementation using STAR Resources, Tranche 2 (Part IV)",9857,Afghanistan,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,19167177,19934000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,39101177
